https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1699578000000,2023-11-10 01:00:00,LRC/USD,0.22669,0.22669,0.21807,0.22529,10302.541431,2321.05955898999
1699574400000,2023-11-10 00:00:00,LRC/USD,0.21579,0.22669,0.21579,0.22669,3323.370473,753.37485252437
1699570800000,2023-11-09 23:00:00,LRC/USD,0.21686,0.21686,0.21579,0.21579,97.760753,21.09579288987
1699567200000,2023-11-09 22:00:00,LRC/USD,0.21686,0.21686,0.21686,0.21686,0.0,0.0
1699563600000,2023-11-09 21:00:00,LRC/USD,0.21252,0.2191,0.20805,0.21686,8628.954068,1871.2749791864799
1699560000000,2023-11-09 20:00:00,LRC/USD,0.21638,0.21806,0.206,0.21252,9025.437878,1918.08605783256
1699556400000,2023-11-09 19:00:00,LRC/USD,0.21638,0.21638,0.21638,0.21638,0.0,0.0
1699552800000,2023-11-09 18:00:00,LRC/USD,0.2223,0.2223,0.21638,0.21638,2979.574654,644.7203636325199
1699549200000,2023-11-09 17:00:00,LRC/USD,0.2168,0.2223,0.2168,0.2223,9839.201355,2187.2544612164997
1699545600000,2023-11-09 16:00:00,LRC/USD,0.23149,0.23498,0.2121,0.2168,10348.093155,2243.466596004
1699542000000,2023-11-09 15:00:00,LRC/USD,0.23394,0.23453,0.22817,0.23149,10764.562505,2491.88857428245
1699538400000,2023-11-09 14:00:00,LRC/USD,0.23244,0.23437,0.22483,0.23394,6950.151509,1625.9184440154602
1699534800000,2023-11-09 13:00:00,LRC/USD,0.23244,0.23244,0.23244,0.23244,0.0,0.0
1699531200000,2023-11-09 12:00:00,LRC/USD,0.23494,0.23494,0.22628,0.23244,6257.732118,1454.54725350792
1699527600000,2023-11-09 11:00:00,LRC/USD,0.23497,0.23497,0.22964,0.23494,668.376723,157.02842730162
1699524000000,2023-11-09 10:00:00,LRC/USD,0.22858,0.23497,0.22858,0.23497,4294.770725,1009.1422772532501
1699520400000,2023-11-09 09:00:00,LRC/USD,0.23291,0.23291,0.22858,0.22858,1036.93,237.02145940000003
1699516800000,2023-11-09 08:00:00,LRC/USD,0.2325,0.23291,0.22996,0.23291,454.521721,105.86265403811001
1699513200000,2023-11-09 07:00:00,LRC/USD,0.2325,0.2325,0.2325,0.2325,8.602151,2.0000001075
1699509600000,2023-11-09 06:00:00,LRC/USD,0.23216,0.2325,0.2276,0.2325,504.303122,117.250475865
1699506000000,2023-11-09 05:00:00,LRC/USD,0.23216,0.23216,0.23216,0.23216,25198.926322,5850.18273491552
1699502400000,2023-11-09 04:00:00,LRC/USD,0.23214,0.23216,0.23214,0.23216,2539.870476,589.65632970816
1699498800000,2023-11-09 03:00:00,LRC/USD,0.23132,0.23214,0.23132,0.23214,522.952295,121.39814576130001
1699495200000,2023-11-09 02:00:00,LRC/USD,0.22571,0.23132,0.22571,0.23132,2415.749276,558.81112252432
1699491600000,2023-11-09 01:00:00,LRC/USD,0.22571,0.22571,0.22571,0.22571,0.0,0.0
1699488000000,2023-11-09 00:00:00,LRC/USD,0.22696,0.22696,0.22571,0.22571,6057.786008,1367.3028798656799
1699484400000,2023-11-08 23:00:00,LRC/USD,0.22818,0.22818,0.22572,0.22696,196.291051,44.55021693496
1699480800000,2023-11-08 22:00:00,LRC/USD,0.22571,0.22818,0.22571,0.22818,105.827054,24.14761718172
1699477200000,2023-11-08 21:00:00,LRC/USD,0.22571,0.22571,0.22571,0.22571,0.0,0.0
1699473600000,2023-11-08 20:00:00,LRC/USD,0.22571,0.22571,0.22571,0.22571,190.674768,43.03720188528
