https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1694962800000,2023-09-17 15:00:00,MATIC/USD,0.52181,0.52416,0.52181,0.52319,272.595359,142.61916587521
1694959200000,2023-09-17 14:00:00,MATIC/USD,0.52501,0.52554,0.52181,0.52181,2462.654451,1285.03771907631
1694955600000,2023-09-17 13:00:00,MATIC/USD,0.52554,0.52554,0.52501,0.52501,31.250116,16.406623401159997
1694952000000,2023-09-17 12:00:00,MATIC/USD,0.52554,0.52554,0.52554,0.52554,0.0,0.0
1694948400000,2023-09-17 11:00:00,MATIC/USD,0.52554,0.52555,0.52501,0.52554,431.254161,226.64131177194
1694944800000,2023-09-17 10:00:00,MATIC/USD,0.52554,0.52554,0.52554,0.52554,73.689098,38.72656856292
1694941200000,2023-09-17 09:00:00,MATIC/USD,0.5224,0.52554,0.51995,0.52554,3446.49321,1811.2700415834001
1694937600000,2023-09-17 08:00:00,MATIC/USD,0.52227,0.5224,0.52227,0.5224,57.730135,30.158222523999996
1694934000000,2023-09-17 07:00:00,MATIC/USD,0.5224,0.5224,0.52221,0.52227,35.243544,18.40664572488
1694930400000,2023-09-17 06:00:00,MATIC/USD,0.5235,0.5235,0.5224,0.5224,53.346284,27.8680987616
1694926800000,2023-09-17 05:00:00,MATIC/USD,0.52139,0.52386,0.52139,0.5235,202.796971,106.1642143185
1694923200000,2023-09-17 04:00:00,MATIC/USD,0.52163,0.52163,0.52071,0.52139,435.717264,227.17862427696002
1694919600000,2023-09-17 03:00:00,MATIC/USD,0.52198,0.5226,0.5214,0.52163,495.767834,258.60737524942
1694916000000,2023-09-17 02:00:00,MATIC/USD,0.52028,0.52385,0.51994,0.52198,3812.969721,1990.29393496758
1694912400000,2023-09-17 01:00:00,MATIC/USD,0.5218,0.52965,0.51817,0.52028,9942.91404,5173.0993167312
1694908800000,2023-09-17 00:00:00,MATIC/USD,0.52798,0.52798,0.5218,0.5218,1450.808167,757.0317015406
1694905200000,2023-09-16 23:00:00,MATIC/USD,0.52815,0.52852,0.52718,0.52798,551.768839,291.32291161522
1694901600000,2023-09-16 22:00:00,MATIC/USD,0.52696,0.52864,0.52696,0.52815,2155.892634,1138.6346946470999
1694898000000,2023-09-16 21:00:00,MATIC/USD,0.52795,0.52826,0.52667,0.52696,6492.798886,3421.44530096656
1694894400000,2023-09-16 20:00:00,MATIC/USD,0.52689,0.52795,0.52689,0.52795,48156.23437,25424.0839356415
1694890800000,2023-09-16 19:00:00,MATIC/USD,0.5283,0.52832,0.52483,0.52689,12636.220024,6657.89796844536
1694887200000,2023-09-16 18:00:00,MATIC/USD,0.52937,0.52937,0.5283,0.5283,7.5525,3.98998575
1694883600000,2023-09-16 17:00:00,MATIC/USD,0.52811,0.52937,0.52743,0.52937,3993.841606,2114.21993096822
1694880000000,2023-09-16 16:00:00,MATIC/USD,0.527,0.52811,0.52678,0.52811,844.536933,446.00839968662996
1694876400000,2023-09-16 15:00:00,MATIC/USD,0.52523,0.527,0.52497,0.527,2656.46746,1399.9583514199999
1694872800000,2023-09-16 14:00:00,MATIC/USD,0.52523,0.52703,0.52523,0.52523,2130.426711,1118.96402141853
1694869200000,2023-09-16 13:00:00,MATIC/USD,0.5279,0.5279,0.52523,0.52523,1188.639071,624.30889926133
1694865600000,2023-09-16 12:00:00,MATIC/USD,0.52835,0.52839,0.52682,0.5279,923.642674,487.59096760460005
1694862000000,2023-09-16 11:00:00,MATIC/USD,0.52856,0.52856,0.52737,0.52835,500.447899,264.41164743665
1694858400000,2023-09-16 10:00:00,MATIC/USD,0.52743,0.52856,0.52678,0.52856,2154.231208,1138.6404473004802
1694854800000,2023-09-16 09:00:00,MATIC/USD,0.52861,0.52861,0.52743,0.52743,7.565038,3.99002799234
1694851200000,2023-09-16 08:00:00,MATIC/USD,0.5276,0.52861,0.52622,0.52861,3537.827825,1870.13116657325
1694847600000,2023-09-16 07:00:00,MATIC/USD,0.52915,0.52918,0.5276,0.5276,11890.624431,6273.493449795599
1694844000000,2023-09-16 06:00:00,MATIC/USD,0.53281,0.53379,0.52915,0.52915,1737.314857,919.30015658155
1694840400000,2023-09-16 05:00:00,MATIC/USD,0.53237,0.53341,0.53237,0.53281,239.419794,127.56526044114
1694836800000,2023-09-16 04:00:00,MATIC/USD,0.53161,0.53301,0.53091,0.53237,5658.019183,3012.1596724537103
1694833200000,2023-09-16 03:00:00,MATIC/USD,0.5334,0.53562,0.53143,0.53161,48142.546704,25593.05925331344
1694829600000,2023-09-16 02:00:00,MATIC/USD,0.52972,0.53497,0.52972,0.5334,3556.095981,1896.8215962653999
1694826000000,2023-09-16 01:00:00,MATIC/USD,0.52838,0.53039,0.52819,0.52972,1691.278768,895.9041889849599
1694822400000,2023-09-16 00:00:00,MATIC/USD,0.52949,0.53106,0.52838,0.52838,2148.544188,1135.2477780554398
1694818800000,2023-09-15 23:00:00,MATIC/USD,0.5313,0.53389,0.52938,0.52949,2838.675045,1503.05004957705
1694815200000,2023-09-15 22:00:00,MATIC/USD,0.52324,0.5332,0.52324,0.5313,8204.187068,4358.8845892284
1694811600000,2023-09-15 21:00:00,MATIC/USD,0.52153,0.52507,0.52123,0.52324,2124.893052,1111.82904052848
1694808000000,2023-09-15 20:00:00,MATIC/USD,0.5202,0.52158,0.51992,0.52153,4596.350139,2397.13448799267
1694804400000,2023-09-15 19:00:00,MATIC/USD,0.51848,0.52077,0.51848,0.5202,5797.114707,3015.6590705813996
1694800800000,2023-09-15 18:00:00,MATIC/USD,0.51868,0.51929,0.51847,0.51848,958.602522,497.0162356065601
1694797200000,2023-09-15 17:00:00,MATIC/USD,0.51903,0.52053,0.51868,0.51868,1511.326635,783.8948990418
1694793600000,2023-09-15 16:00:00,MATIC/USD,0.51981,0.52125,0.519,0.51903,1607.380241,834.27856648623
1694790000000,2023-09-15 15:00:00,MATIC/USD,0.5165,0.52002,0.5165,0.51981,3077.24432,1599.5823699792
1694786400000,2023-09-15 14:00:00,MATIC/USD,0.51901,0.51959,0.5154,0.5165,5404.685624,2791.5201247959994
1694782800000,2023-09-15 13:00:00,MATIC/USD,0.51701,0.5194,0.51701,0.51901,1411.171012,732.4118669381199
1694779200000,2023-09-15 12:00:00,MATIC/USD,0.51744,0.51953,0.51701,0.51701,845.008472,436.87783010872
1694775600000,2023-09-15 11:00:00,MATIC/USD,0.52278,0.52278,0.51744,0.51744,2439.282355,1262.1822617712
1694772000000,2023-09-15 10:00:00,MATIC/USD,0.52263,0.52303,0.52263,0.52278,164.028297,85.75071310566001
1694768400000,2023-09-15 09:00:00,MATIC/USD,0.52225,0.52263,0.52225,0.52263,7.634459,3.9899973071700003
1694764800000,2023-09-15 08:00:00,MATIC/USD,0.52173,0.52225,0.52148,0.52225,186.317516,97.304322731
1694761200000,2023-09-15 07:00:00,MATIC/USD,0.52313,0.52313,0.5217,0.52173,80.22661,41.8566292353
1694757600000,2023-09-15 06:00:00,MATIC/USD,0.52745,0.52745,0.52235,0.52313,2230.747386,1166.97088003818
1694754000000,2023-09-15 05:00:00,MATIC/USD,0.5247,0.52745,0.5247,0.52745,5841.606405,3081.15529831725
1694750400000,2023-09-15 04:00:00,MATIC/USD,0.52698,0.52698,0.5247,0.5247,385.0,202.00950000000003
1694746800000,2023-09-15 03:00:00,MATIC/USD,0.52664,0.52712,0.52664,0.52698,80.146341,42.23551878018
1694743200000,2023-09-15 02:00:00,MATIC/USD,0.5239,0.52753,0.5239,0.52664,2335.641605,1230.0422948572
1694739600000,2023-09-15 01:00:00,MATIC/USD,0.52208,0.5239,0.52097,0.5239,1572.347363,823.7527834757001
1694736000000,2023-09-15 00:00:00,MATIC/USD,0.52155,0.52208,0.52155,0.52208,227.894604,118.97921485631998
1694732400000,2023-09-14 23:00:00,MATIC/USD,0.52527,0.52527,0.52072,0.52155,1146.238237,597.8205525073499
1694728800000,2023-09-14 22:00:00,MATIC/USD,0.52468,0.52527,0.52468,0.52527,1318.118087,692.36788755849
1694725200000,2023-09-14 21:00:00,MATIC/USD,0.52336,0.5275,0.52336,0.52468,2023.957441,1061.92999014388
1694721600000,2023-09-14 20:00:00,MATIC/USD,0.52449,0.52682,0.52336,0.52336,16834.711658,8810.614693330881
1694718000000,2023-09-14 19:00:00,MATIC/USD,0.52248,0.52449,0.52248,0.52449,663.8118,348.162650982
1694714400000,2023-09-14 18:00:00,MATIC/USD,0.52255,0.52552,0.52248,0.52248,1007.464175,526.379882154
1694710800000,2023-09-14 17:00:00,MATIC/USD,0.52061,0.52255,0.52061,0.52255,2125.220103,1110.53376482265
1694707200000,2023-09-14 16:00:00,MATIC/USD,0.52343,0.52451,0.5203,0.52061,7948.954684,4138.30529803724
1694703600000,2023-09-14 15:00:00,MATIC/USD,0.52507,0.52605,0.52189,0.52343,8004.625075,4189.860903007249
1694700000000,2023-09-14 14:00:00,MATIC/USD,0.52215,0.52507,0.52042,0.52507,5615.538461,2948.5507797172704
1694696400000,2023-09-14 13:00:00,MATIC/USD,0.52051,0.52507,0.52051,0.52215,2323.31178,1213.117245927
1694692800000,2023-09-14 12:00:00,MATIC/USD,0.51992,0.52148,0.51972,0.52051,1649.449856,858.55514454656
