https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1715173200000,2024-05-08 13:00:00,STORJ/USD,0.52226,0.52226,0.52226,0.52226,0.0,0.0
1715169600000,2024-05-08 12:00:00,STORJ/USD,0.52582,0.52687,0.52226,0.52226,676.114351,353.10748095326
1715166000000,2024-05-08 11:00:00,STORJ/USD,0.52582,0.52582,0.52582,0.52582,0.0,0.0
1715162400000,2024-05-08 10:00:00,STORJ/USD,0.52366,0.52657,0.52366,0.52582,2071.1,1089.0258019999999
1715158800000,2024-05-08 09:00:00,STORJ/USD,0.52271,0.52442,0.52074,0.52366,700.0,366.562
1715155200000,2024-05-08 08:00:00,STORJ/USD,0.52023,0.52444,0.52023,0.52271,4739.920502,2477.60384560042
1715151600000,2024-05-08 07:00:00,STORJ/USD,0.51827,0.5221,0.51827,0.52023,3906.686796,2032.3756718830798
1715148000000,2024-05-08 06:00:00,STORJ/USD,0.52272,0.52272,0.51827,0.51827,44.451295,23.037772659650003
1715144400000,2024-05-08 05:00:00,STORJ/USD,0.52143,0.52295,0.52143,0.52272,2973.4,1554.2556479999998
1715140800000,2024-05-08 04:00:00,STORJ/USD,0.52289,0.52464,0.51828,0.52143,2485.223911,1295.87030391273
1715137200000,2024-05-08 03:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715133600000,2024-05-08 02:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715130000000,2024-05-08 01:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715126400000,2024-05-08 00:00:00,STORJ/USD,0.53591,0.53591,0.52289,0.52289,598.274799,312.83190964911
1715122800000,2024-05-07 23:00:00,STORJ/USD,0.53591,0.53591,0.53591,0.53591,0.0,0.0
1715119200000,2024-05-07 22:00:00,STORJ/USD,0.5409,0.5409,0.53591,0.53591,26.995359,14.46708284169
1715115600000,2024-05-07 21:00:00,STORJ/USD,0.5409,0.5409,0.5409,0.5409,3.697541,1.9999999269000002
1715112000000,2024-05-07 20:00:00,STORJ/USD,0.5409,0.5409,0.5409,0.5409,0.0,0.0
1715108400000,2024-05-07 19:00:00,STORJ/USD,0.5409,0.5409,0.5409,0.5409,0.0,0.0
1715104800000,2024-05-07 18:00:00,STORJ/USD,0.54274,0.54274,0.5395,0.5409,200.0,108.18
1715101200000,2024-05-07 17:00:00,STORJ/USD,0.54768,0.54768,0.54274,0.54274,7699.394896,4178.76958585504
1715097600000,2024-05-07 16:00:00,STORJ/USD,0.5463,0.54768,0.5463,0.54768,990.791322,542.63659123296
1715094000000,2024-05-07 15:00:00,STORJ/USD,0.55188,0.5521,0.5463,0.5463,14500.363138,7921.5483822894
1715090400000,2024-05-07 14:00:00,STORJ/USD,0.548,0.55188,0.54558,0.55188,182.087246,100.49030932248
1715086800000,2024-05-07 13:00:00,STORJ/USD,0.548,0.548,0.548,0.548,0.0,0.0
1715083200000,2024-05-07 12:00:00,STORJ/USD,0.548,0.548,0.548,0.548,0.0,0.0
1715079600000,2024-05-07 11:00:00,STORJ/USD,0.548,0.548,0.548,0.548,0.0,0.0
1715076000000,2024-05-07 10:00:00,STORJ/USD,0.54537,0.548,0.54231,0.548,52.009408,28.501155584000003
1715072400000,2024-05-07 09:00:00,STORJ/USD,0.54292,0.54672,0.54292,0.54537,88.967581,48.52024964997
1715068800000,2024-05-07 08:00:00,STORJ/USD,0.52994,0.54292,0.52994,0.54292,535.92363,290.9636571996
1715065200000,2024-05-07 07:00:00,STORJ/USD,0.52994,0.52994,0.52994,0.52994,0.0,0.0
1715061600000,2024-05-07 06:00:00,STORJ/USD,0.52994,0.52994,0.52994,0.52994,0.0,0.0
1715058000000,2024-05-07 05:00:00,STORJ/USD,0.52994,0.52994,0.52994,0.52994,0.0,0.0
1715054400000,2024-05-07 04:00:00,STORJ/USD,0.52994,0.52994,0.52994,0.52994,0.0,0.0
1715050800000,2024-05-07 03:00:00,STORJ/USD,0.5395,0.5395,0.52868,0.52994,268.984594,142.54569574436
1715047200000,2024-05-07 02:00:00,STORJ/USD,0.5395,0.5395,0.5395,0.5395,0.0,0.0
1715043600000,2024-05-07 01:00:00,STORJ/USD,0.54009,0.54009,0.5395,0.5395,6.99839,3.7756314049999995
1715040000000,2024-05-07 00:00:00,STORJ/USD,0.54009,0.54009,0.54009,0.54009,0.0,0.0
1715036400000,2024-05-06 23:00:00,STORJ/USD,0.54009,0.54009,0.54009,0.54009,0.0,0.0
1715032800000,2024-05-06 22:00:00,STORJ/USD,0.54009,0.54009,0.54009,0.54009,0.0,0.0
1715029200000,2024-05-06 21:00:00,STORJ/USD,0.53323,0.54009,0.53323,0.54009,9.690493,5.23373836437
