https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1761451200000,2025-10-26 04:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761447600000,2025-10-26 03:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761444000000,2025-10-26 02:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761440400000,2025-10-26 01:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761436800000,2025-10-26 00:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761433200000,2025-10-25 23:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761429600000,2025-10-25 22:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761426000000,2025-10-25 21:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761422400000,2025-10-25 20:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761418800000,2025-10-25 19:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761415200000,2025-10-25 18:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761411600000,2025-10-25 17:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761408000000,2025-10-25 16:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761404400000,2025-10-25 15:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761400800000,2025-10-25 14:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761397200000,2025-10-25 13:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761393600000,2025-10-25 12:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761390000000,2025-10-25 11:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761386400000,2025-10-25 10:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761382800000,2025-10-25 09:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761379200000,2025-10-25 08:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761375600000,2025-10-25 07:00:00,CUBE/USD,0.265,0.285,0.265,0.285,1.813823,0.516939555
1761372000000,2025-10-25 06:00:00,CUBE/USD,0.265,0.265,0.265,0.265,0.0,0.0
1761368400000,2025-10-25 05:00:00,CUBE/USD,0.265,0.265,0.265,0.265,0.0,0.0
1761364800000,2025-10-25 04:00:00,CUBE/USD,0.265,0.265,0.265,0.265,0.0,0.0
1761361200000,2025-10-25 03:00:00,CUBE/USD,0.265,0.265,0.265,0.265,0.0,0.0
1761357600000,2025-10-25 02:00:00,CUBE/USD,0.265,0.265,0.265,0.265,0.0,0.0
1761354000000,2025-10-25 01:00:00,CUBE/USD,0.2745,0.2745,0.265,0.265,6.946531,1.840830715
1761350400000,2025-10-25 00:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761346800000,2025-10-24 23:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761343200000,2025-10-24 22:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761339600000,2025-10-24 21:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761336000000,2025-10-24 20:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761332400000,2025-10-24 19:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761328800000,2025-10-24 18:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761325200000,2025-10-24 17:00:00,CUBE/USD,0.2745,0.2745,0.2745,0.2745,0.0,0.0
1761321600000,2025-10-24 16:00:00,CUBE/USD,0.2949,0.2949,0.2745,0.2745,0.642442,0.176350329
1761318000000,2025-10-24 15:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761314400000,2025-10-24 14:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761310800000,2025-10-24 13:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761307200000,2025-10-24 12:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761303600000,2025-10-24 11:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761300000000,2025-10-24 10:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
1761296400000,2025-10-24 09:00:00,CUBE/USD,0.2949,0.2949,0.2949,0.2949,0.0,0.0
