https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1763978400000,2025-11-24 10:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763974800000,2025-11-24 09:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763971200000,2025-11-24 08:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763967600000,2025-11-24 07:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763964000000,2025-11-24 06:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763960400000,2025-11-24 05:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763956800000,2025-11-24 04:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763953200000,2025-11-24 03:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
1763949600000,2025-11-24 02:00:00,INJ/USD,5.3357,5.516,5.3357,5.4414,60.7255,330.4317357
1763946000000,2025-11-24 01:00:00,INJ/USD,5.3,5.3357,5.3,5.3357,91.390667,487.63318191189995
1763942400000,2025-11-24 00:00:00,INJ/USD,5.4,5.4,5.3,5.3,400.0,2120.0
1763938800000,2025-11-23 23:00:00,INJ/USD,5.4527,5.4527,5.4,5.4,500.0,2700.0
1763935200000,2025-11-23 22:00:00,INJ/USD,5.4527,5.4527,5.4527,5.4527,0.0,0.0
1763931600000,2025-11-23 21:00:00,INJ/USD,5.4371,5.4527,5.4359,5.4527,88.461482,482.35392290140004
1763928000000,2025-11-23 20:00:00,INJ/USD,5.4701,5.4701,5.4371,5.4371,12.426908,67.5663414868
1763924400000,2025-11-23 19:00:00,INJ/USD,5.4502,5.4701,5.424,5.4701,4.089153,22.3680758253
1763920800000,2025-11-23 18:00:00,INJ/USD,5.397,5.4502,5.397,5.4502,54.826873,298.81742322459996
1763917200000,2025-11-23 17:00:00,INJ/USD,5.455,5.455,5.397,5.397,283.86052,1531.9952264400001
1763913600000,2025-11-23 16:00:00,INJ/USD,5.5023,5.5648,5.455,5.455,552.450422,3013.61705201
